iso_code,continent,location,date,total_cases,total_deaths
ZAF,Africa,South Africa,2020/02/07,,
ZAF,Africa,South Africa,2020/02/08,,
ZAF,Africa,South Africa,2020/02/09,,
ZAF,Africa,South Africa,2020/02/10,,
ZAF,Africa,South Africa,2020/02/11,,
ZAF,Africa,South Africa,2020/02/12,,
ZAF,Africa,South Africa,2020/02/13,,
ZAF,Africa,South Africa,2020/02/14,,
ZAF,Africa,South Africa,2020/02/15,,
ZAF,Africa,South Africa,2020/02/16,,
ZAF,Africa,South Africa,2020/02/17,,
ZAF,Africa,South Africa,2020/02/18,,
ZAF,Africa,South Africa,2020/02/19,,
ZAF,Africa,South Africa,2020/02/20,,
ZAF,Africa,South Africa,2020/02/21,,
ZAF,Africa,South Africa,2020/02/22,,
ZAF,Africa,South Africa,2020/02/23,,
ZAF,Africa,South Africa,2020/02/24,,
ZAF,Africa,South Africa,2020/02/25,,
ZAF,Africa,South Africa,2020/02/26,,
ZAF,Africa,South Africa,2020/02/27,,
ZAF,Africa,South Africa,2020/02/28,,
ZAF,Africa,South Africa,2020/02/29,,
ZAF,Africa,South Africa,2020/03/01,,
ZAF,Africa,South Africa,2020/03/02,,
ZAF,Africa,South Africa,2020/03/03,,
ZAF,Africa,South Africa,2020/03/04,,
ZAF,Africa,South Africa,2020/03/05,1,
ZAF,Africa,South Africa,2020/03/06,1,
ZAF,Africa,South Africa,2020/03/07,1,
ZAF,Africa,South Africa,2020/03/08,3,
ZAF,Africa,South Africa,2020/03/09,3,
ZAF,Africa,South Africa,2020/03/10,7,
ZAF,Africa,South Africa,2020/03/11,13,
ZAF,Africa,South Africa,2020/03/12,17,
ZAF,Africa,South Africa,2020/03/13,24,
ZAF,Africa,South Africa,2020/03/14,38,
ZAF,Africa,South Africa,2020/03/15,51,
ZAF,Africa,South Africa,2020/03/16,62,
ZAF,Africa,South Africa,2020/03/17,62,
ZAF,Africa,South Africa,2020/03/18,116,
ZAF,Africa,South Africa,2020/03/19,150,
ZAF,Africa,South Africa,2020/03/20,202,
ZAF,Africa,South Africa,2020/03/21,240,
ZAF,Africa,South Africa,2020/03/22,274,
ZAF,Africa,South Africa,2020/03/23,402,
ZAF,Africa,South Africa,2020/03/24,554,
ZAF,Africa,South Africa,2020/03/25,709,
ZAF,Africa,South Africa,2020/03/26,927,
ZAF,Africa,South Africa,2020/03/27,1170,1
ZAF,Africa,South Africa,2020/03/28,1187,1
ZAF,Africa,South Africa,2020/03/29,1280,2
ZAF,Africa,South Africa,2020/03/30,1326,3
ZAF,Africa,South Africa,2020/03/31,1353,5
ZAF,Africa,South Africa,2020/04/01,1380,5
ZAF,Africa,South Africa,2020/04/02,1462,5
ZAF,Africa,South Africa,2020/04/03,1505,9
ZAF,Africa,South Africa,2020/04/04,1585,9
ZAF,Africa,South Africa,2020/04/05,1655,11
ZAF,Africa,South Africa,2020/04/06,1686,12
ZAF,Africa,South Africa,2020/04/07,1749,13
ZAF,Africa,South Africa,2020/04/08,1845,18
ZAF,Africa,South Africa,2020/04/09,1934,18
ZAF,Africa,South Africa,2020/04/10,2003,24
ZAF,Africa,South Africa,2020/04/11,2028,25
ZAF,Africa,South Africa,2020/04/12,2173,25
ZAF,Africa,South Africa,2020/04/13,2272,27
ZAF,Africa,South Africa,2020/04/14,2415,27
ZAF,Africa,South Africa,2020/04/15,2506,34
ZAF,Africa,South Africa,2020/04/16,2605,48
ZAF,Africa,South Africa,2020/04/17,2783,50
ZAF,Africa,South Africa,2020/04/18,3034,52
ZAF,Africa,South Africa,2020/04/19,3158,54
ZAF,Africa,South Africa,2020/04/20,3300,58
ZAF,Africa,South Africa,2020/04/21,3465,58
ZAF,Africa,South Africa,2020/04/22,3635,65
ZAF,Africa,South Africa,2020/04/23,3953,75
ZAF,Africa,South Africa,2020/04/24,4220,79
ZAF,Africa,South Africa,2020/04/25,4361,86
ZAF,Africa,South Africa,2020/04/26,4546,87
ZAF,Africa,South Africa,2020/04/27,4793,90
ZAF,Africa,South Africa,2020/04/28,4996,93
ZAF,Africa,South Africa,2020/04/29,5350,103
ZAF,Africa,South Africa,2020/04/30,5647,103
ZAF,Africa,South Africa,2020/05/01,5951,116
ZAF,Africa,South Africa,2020/05/02,6336,123
ZAF,Africa,South Africa,2020/05/03,6783,131
ZAF,Africa,South Africa,2020/05/04,7220,138
ZAF,Africa,South Africa,2020/05/05,7572,148
ZAF,Africa,South Africa,2020/05/06,7808,153
ZAF,Africa,South Africa,2020/05/07,8232,161
ZAF,Africa,South Africa,2020/05/08,8895,178
ZAF,Africa,South Africa,2020/05/09,9420,186
ZAF,Africa,South Africa,2020/05/10,10015,194
ZAF,Africa,South Africa,2020/05/11,10652,206
ZAF,Africa,South Africa,2020/05/12,11350,206
ZAF,Africa,South Africa,2020/05/13,12074,219
ZAF,Africa,South Africa,2020/05/14,12739,238
ZAF,Africa,South Africa,2020/05/15,13524,247
ZAF,Africa,South Africa,2020/05/16,14355,261
ZAF,Africa,South Africa,2020/05/17,15515,264
ZAF,Africa,South Africa,2020/05/18,16433,286
ZAF,Africa,South Africa,2020/05/19,17200,312
ZAF,Africa,South Africa,2020/05/20,18003,339
ZAF,Africa,South Africa,2020/05/21,19137,369
ZAF,Africa,South Africa,2020/05/22,20125,397
ZAF,Africa,South Africa,2020/05/23,21343,407
ZAF,Africa,South Africa,2020/05/24,22583,429
ZAF,Africa,South Africa,2020/05/25,23615,481
ZAF,Africa,South Africa,2020/05/26,24264,524
ZAF,Africa,South Africa,2020/05/27,25937,552
ZAF,Africa,South Africa,2020/05/28,27403,577
ZAF,Africa,South Africa,2020/05/29,29240,611
ZAF,Africa,South Africa,2020/05/30,30967,643
ZAF,Africa,South Africa,2020/05/31,32683,683
ZAF,Africa,South Africa,2020/06/01,34357,705
ZAF,Africa,South Africa,2020/06/02,35812,755
ZAF,Africa,South Africa,2020/06/03,37525,792
ZAF,Africa,South Africa,2020/06/04,40792,848
ZAF,Africa,South Africa,2020/06/05,43434,908
