Date,Value
 2020-04-30,18.0589
 2020-04-29,18.4869
 2020-04-28,18.6678
 2020-04-24,19.0722
 2020-04-23,19.0243
 2020-04-22,18.8829
 2020-04-21,19.0549
 2020-04-20,18.9305
 2020-04-17,18.8159
 2020-04-16,18.5972
 2020-04-15,18.6243
 2020-04-14,18.0303
 2020-04-09,18.0868
 2020-04-08,18.4033
 2020-04-07,18.3207
 2020-04-06,19.0768
 2020-04-03,18.7096
 2020-04-02,18.2113
 2020-04-01,18.0283
 2020-03-31,17.9822
 2020-03-30,17.8226
 2020-03-27,17.5046
 2020-03-26,17.4915
 2020-03-25,17.3437
 2020-03-24,17.7233
 2020-03-23,17.8108
 2020-03-20,17.1939
 2020-03-19,17.3757
 2020-03-18,16.7717
 2020-03-17,16.5498
 2020-03-16,16.6289
 2020-03-13,16.3201
 2020-03-12,16.4264
 2020-03-11,16.0714
 2020-03-10,15.9082
 2020-03-09,16.1815
 2020-03-06,15.5874
 2020-03-05,15.3336
 2020-03-04,15.3659
 2020-03-03,15.5337
 2020-03-02,15.5255
