"year";"nuts_code";"total_pop";"total_cities"
"700";"'AT11";"0";"1"
"700";"'AT123";"2000";"4"
"700";"'AT21";"0";"1"
"700";"'AT22";"0";"1"
"700";"'AT31";"0";"5"
"700";"'AT32";"0";"1"
"700";"'AT33";"1000";"2"
"700";"'AT34";"0";"1"
"700";"'BE10+BE24+BE31";"1000";"8"
"700";"'BE21";"0";"4"
"700";"'BE22";"4000";"3"
"700";"'BE23";"3000";"16"
"700";"'BE25";"1000";"17"
"700";"'BE32";"2000";"8"
"700";"'BE33";"4000";"5"
"700";"'BE34";"1000";"1"
"700";"'BE35";"1000";"2"
"700";"'CH01";"6000";"5"
"700";"'CH02";"2000";"6"
"700";"'CH03";"2000";"1"
"700";"'CH04";"3000";"2"
"700";"'CH05";"1000";"5"
"700";"'CH06";"0";"2"
"700";"'CH07";"1000";"1"
"700";"'DE11";"2000";"8"
"700";"'DE12";"4000";"6"
"700";"'DE13";"2000";"4"
"700";"'DE14";"1000";"6"
"700";"'DE21";"0";"4"
"700";"'DE22";"1000";"3"
"700";"'DE23";"2000";"2"
"700";"'DE24";"0";"4"
"700";"'DE25";"0";"7"
"700";"'DE26";"1000";"3"
"700";"'DE27";"3000";"7"
"700";"'DE30";"0";"3"
"700";"'DE40";"0";"7"
"700";"'DE50";"1000";"2"
"700";"'DE60";"0";"1"
"700";"'DE712";"6000";"10"
"700";"'DE73";"0";"3"
"700";"'DE80";"0";"9"
"700";"'DE912";"0";"12"
"700";"'DE93";"1000";"4"
"700";"'DE94";"1000";"6"
"700";"'DEA1";"2000";"22"
"700";"'DEA2";"7000";"11"
"700";"'DEA3";"0";"8"
"700";"'DEA4";"0";"5"
"700";"'DEA5";"0";"10"
"700";"'DEB1";"3000";"4"
"700";"'DEB2";"5000";"2"
"700";"'DEB3";"5000";"9"
"700";"'DEC0";"1000";"2"
"700";"'DED2";"0";"8"
"700";"'DED4";"0";"11"
"700";"'DED5";"0";"4"
"700";"'DEE0";"0";"18"
"700";"'DEF0";"1000";"11"
"700";"'DEG0";"0";"12"
"700";"'DK01";"0";"2"
"700";"'DK02";"0";"1"
"700";"'DK03";"1000";"3"
"700";"'DK04";"0";"3"
"700";"'DK05";"0";"1"
"700";"'ES11";"8000";"12"
"700";"'ES12";"1000";"4"
"700";"'ES13";"2000";"1"
"700";"'ES21";"2000";"4"
"700";"'ES22";"4000";"3"
"700";"'ES23";"4000";"4"
"700";"'ES24";"8000";"9"
"700";"'ES30";"2000";"10"
"700";"'ES41";"22000";"23"
"700";"'ES42";"16000";"33"
"700";"'ES43";"12000";"17"
"700";"'ES51";"17000";"21"
"700";"'ES52";"15000";"31"
"700";"'ES53";"5000";"5"
"700";"'ES61";"99000";"71"
"700";"'ES62";"6000";"11"
"700";"'ES70";"0";"4"
"700";"'FI19";"0";"3"
"700";"'FI1B";"0";"3"
"700";"'FI1C";"0";"2"
"700";"'FI1D";"0";"1"
"700";"'FR10";"8000";"13"
"700";"'FR21";"12000";"12"
"700";"'FR22";"11000";"9"
"700";"'FR23";"7000";"12"
"700";"'FR24";"21000";"19"
"700";"'FR25";"7000";"15"
"700";"'FR26";"17000";"16"
"700";"'FR30";"12000";"25"
"700";"'FR41";"9000";"12"
"700";"'FR42";"4000";"10"
"700";"'FR43";"5000";"10"
"700";"'FR51";"9000";"17"
"700";"'FR52";"8000";"13"
"700";"'FR53";"8000";"9"
"700";"'FR61";"17000";"19"
"700";"'FR62";"13000";"21"
"700";"'FR63";"3000";"6"
"700";"'FR71";"15000";"20"
"700";"'FR72";"8000";"13"
"700";"'FR81";"20000";"19"
"700";"'FR82";"29000";"26"
"700";"'FR83";"1000";"4"
"700";"'FRJ1";"0";"1"
"700";"'FRL0";"1000";"1"
"700";"'HR03";"0";"2"
"700";"'IE0";"2000";"16"
"700";"'ITC1";"17000";"35"
"700";"'ITC2";"1000";"1"
"700";"'ITC3";"14000";"8"
"700";"'ITC4";"40000";"14"
"700";"'ITF1";"12000";"11"
"700";"'ITF2";"3000";"3"
"700";"'ITF3";"35000";"40"
"700";"'ITF4";"38000";"40"
"700";"'ITF5";"5000";"13"
"700";"'ITF6";"8000";"15"
"700";"'ITG1";"77000";"117"
"700";"'ITG2";"2000";"5"
"700";"'ITH1+ITH2";"2000";"3"
"700";"'ITH3";"18000";"13"
"700";"'ITH4";"1000";"2"
"700";"'ITH5";"36000";"13"
